648,92
683,41
751,87
778,61
83,293
27,300
29,335
50,387
83,389
114,437
19,443
11,549
17,562
75,329
453,334
365,328
283,309
827,45
848,129
789,159
700,144
695,113
811,120
92,108
104,48
141,34
199,60
245,35
299,18
317,89
218,100
217,247
302,204
167,81
261,84
893,568
869,509
812,508
766,489
767,483
778,448
849,437
850,412
810,387
767,375
749,375
761,521
817,553
807,582
474,474
452,441
399,416
344,432
322,449
322,483
408,497
470,507
473,539
392,553
335,552
309,519
386,509
433,522
487,534
445,477
386,463
349,463
408,196
512,201
559,211
597,274
546,318
142,468
147,427
138,394
63,386
52,400
35,392
56,363
115,348
129,344
342,254
442,255
500,267
463,306
389,293
597,223
610,255
79,550
49,527
77,493
118,495
139,485
113,461
63,455
39,473
117,535
134,563
90,570
35,569
132,506
146,513
89,349
26,368
